alt;become frozen
tsrgetsenwécw  (sp);tied together
tssusú7;soaked
ts̓tékem;defensive chirping of squirrels
tsu7éles;ready for action
tsucwékwen̓st;fur liner in clothing and foot wear.
tsucwmíken̓;drip from roof
Tsucwmínte re sk̓wimém̓elt te Tqeltkúkwpi7;Merry Christmas
tsucwmíntlmen;I greet you people
tsucw...;See cexq̓...???
ts̓ugwt;open sore
tsuk̓wmín;canoe/raft  pole used to go upstream
tsukwste;leave he, she it, they  alone
tsukw;that's all,that's enough,only
tsukwtsétsk̓wem̓, tsétsk̓wem;lightning flashes
t.súllecw;frozen ground
tsúllem;change fur to red in spring, of deer
t.sulltímc;she enquired abt (stg.) to our group here
t.suls;hard crust on top of snow or ground,frozen vegetables/fruit.
tsuls,  suls;top layer is frozen
ts̓úm̓qen;eating  fishheads
ts̓úm̓qsem;kissing
tsún̓emct.s;she showed her, she taught her
tsunéy;bird (unid., small snipe)  ???
t.súnkwem;island
t.súnkwem, tssúnkwe;island
tsún̓mens;she pointed  at
tsún̓menten;index finger
tsuns;she told him, she ordered him,she thought that
tsúp̓en;packstrap (goes around forehead)
tsúqu7sem;splicing
tsúqu7sens;he splicing
tsqwél̓sens;splicing
tsúqwem̓;add a length (of rope) or bridle
tsúqwens;he add a length (of rope) or bridle
tsúq̓wen̓s;he pointed to guess a side in a stick game
t.suq̓w;layer of fat on deer's body,an animal kill has been gutted and butchered   ???
tsuqwqín̓;red headed woodpecker
tsúspstn;tailbone
t.susú7t;dew, wetness after rain,beads.
t.susúsu7t;beads
tsuts̓éwem, tsuts̓él̓em;panning gold
tsuts̓éw, tsuts̓aw;has washed out clean  ???
tsut;she said,she intends to
tsutskwst.s;she left him alone
tsútsllke7, tsútsllka7;seven
tsútsq̓wen̓s;pointed in guessing sides in the stick game
tsutsqw;head of harpoon
tsutswécem, tswáca;spring run off or, small creeks form after heavy rainfall
tsuts̓wéy̓;butterfly
tsuts̓wéy̓,  stsuts̓wéy̓, -éy̓e;butterfly
tsúwet;activity, mission, type of work being done
tsúwet;sxúsem has whipped into ice cream
ts̓walltn;maple Acer circinatum.
tswe7éy, tsw7ay;beginning to show, becoming visible,becoming known of past events.
tswec, tswac;creek
Tswécwemstem;Bonaparte Lake
tswecwmíken̓;See cuxm¡ke˙. ???
tswekékne;western tanager  ???
tsweléqs;match-stick, torch, candle is lit
tswellcw;building a house or structure
tswel;tilted
tswel,  tsec.wél;tilted
tswelwíl;with fringes
ts̓wél̓ye, -ah;yellowbells,E snowdrops Fritillaria pudica.
tswentsetsqéxe7;he made his mount trot
tswentsút;trotted  (animal)
tsweptsítsen;whiskered, E  mustache.
tswéqens;poked and prodded to open up the skin ???
tsweswís;proud
tswetsqéq̓llten;going to look for pitchwood
tswet.stés;treating someone/stg. a certain way
tswéwcem;spring run-off,E  to open a ditch.
tswewél̓el;tilted a tiny bit
tswewi7sqélemcw;beings thought to raid graveyards
tswéwllem,  tswewll;building  a canoe
tswéyen;making a scoop-net
tswiqíqne, tswiqaqna;a bird (unid.)  ???
ts̓wiq;screaming, crying  (baby)
tswiway;corpse
tswiweyéwll;coffin
tswiweyúlecw;puffball Calvatia gigantea
tswúsem̓;making a loop at the end of a rope
tswúsens;he making a loop at the end of a rope
tsxaq;stuck in between
tsxel;fenced in area
tsxel, tsxal;log structure
tsxelxél;stacked to the rafters  ???
ts̓xem;he went to look at stg.
ts̓xentés;he he went to look at stg.
tsxéqen, tshéqen;maybe
tsxeqtsín̓;careless about what one says
tsxeteqsentwécw;taking turns walking in front
tsxetéqs;first in race,she was first to come forward
tsxew;dried fruit/vegetables
tsxexíxg7e,  tsxexexíxge7;torn into shreds  ???
tsxexlécwe;rough (as edge of saw)
tsxig;torn, broken of bread/ fruit/paper
tsxiw;raw, uncooked.
tsxix;latticed
tsxlellcw, tsxlallcw;log cabin
tsxlewll;wooden barrel
tsxup̓;bent with age (people),a semi circle  ???
tsxuy;ridge-shaped, having sharp corners
tsxw7us;frothed,  bubbled up
ts̓xway̓a,-ns;did stg. nasty on purpose
ts̓xwentés, ts̓xwatas;did stg. on purpose
tsxwénte,tsxwéte, tsxwata!;come here!
tsxwixúyqs;buckskin needle
tsxwixúy;three sided sharp cornered
ts̓xwixw;sparrow
tsxwnup̓;bent over (with age)
tsxwyús,  -e7;knives/scissors are sharpened
tsyegép   II.;to go around a mountain.
tsyégwyegw;belted, with belt on
tsyelép̓, tsyelép;bushes
tsyellqnemstwécw;lie end to end
tsyelq̓em, ctsíl(e)q̓-em;scoop out food or other with the hand
tsyelyál;tangled
tsyém̓ken;people are sitting on the ice
tsyemstwécw;common law  relationship
tsyém̓tsen;sitting around an open fire
tsyem, tsyam;people seated, camped,  are at home (plur.)
tsyeq̓;boiled down (esp. berries), thick (fluid), coarse (tobacco).
tsyeqwe7úl̓i;fire on the ground
tsyeqw;there is a fire burning
tsyets;wrinkled, crumpled, unpressed of cloth
tsyewst.s;she wants nothing to do with him/her/it
tsyexíle;providing one's childern with clothes
tsyik;tree has fallen to the ground,stg. has fallen over.
ts̓yúselp̓;firetongs of sticks
tu7kemíct.s;sold something that belonged to someone else
tu7kemínem,-s;selling
tu7kwemíct.s;sold on him/her
tu7kwemíns;she sold it
tu7kwemíns;sold it
tu7lílmens, twelíl(en)mens;laughed at , poked fun at someone
tucwcítem;added onto what he had to serve etc.
t̓úcwen̓;horse tail /medicine to help pass urine
t̓úcwen̓;scouring rush Equisetum arvense or sylvaticum.
t̓úcwen̓/xwyústen̓;horse tail
t̓ucw  I.;only
t̓ucwítem;won from him
t̓ucwt;fly
t̓ucwt.st.s;cause to fly, carry in flight
tugwmíns, tgwemíns;run after, pursue (plur.).
tukwe7qínem;drive   E.
túk̓wem;hug, get an armful
tukwtítkwem̓t;rocks, red hot and sparking
tulenmentsút;laughed at one's self
t̓úlens;Indian Dr.'s powers are exerted to turn stg. into stone
t̓um;ate soapberry ice cream
túm̓e;aunt (mother's sister)
túmen;s/he had a dream-vision
t̓úmens;s/he ate soapberry ice cream
t̓úpe7;great-grandfather
túpe7;great-grandmother
t̓úpelc;spinning movement with the body
t̓úpem;spinning it, twisting it, wringing it.
t̓úpens;spinning it, twisting it, wringing it.
túp-em;to pound, smash up.
túp-ens;to pound, smash up.
t̓úpke7;wringer
t̓úpkwem;whirlpool
t̓úpme7;spinning disc to wring hides
t̓uqw;arrowhead
t̓uqweqwíqw;sound of galloping horses,fire crackers
t̓úsem;eating marrow
t̓úsens;eating marrow
tustas;she wasted it, she has ruined a valuable item
tut̓éwt;floating in the wind as a glider or kite
tuwíwt;boy,young
tuxwentés;stripped clothing off another
tuxwqúte7;all for naught
t̓uxwqúte7;fultile effort
t̓uxwqúte7,  qúte7;in vain, no result
tuxwt;very
t̓uycwt;flew (birds)
túyelc;stooping, bending over
twecentés;to comb (an animal).
twecqínem;combing a horse's mane
twelenmen̓tsút, welnemstsút, welnemstsút;to laugh to oneself.
twepwepúpse7;Hudson Bay currant, northern black currant.
twepwepúy̓e;eyebrows
t̓weq;caved in,E  to come off, peel away (as plaster from wall).
twétens;walked out to meet someone
twéwtskten;spear pole/handle
t̓wéwyeqs;yearling caribou
twexém;stripping naked
twéxens;to interfere with sb.
twéxmens;stepped over a person (ritually)
twíkem̓;seeing  berries on bushes
twíkts;seeing  berries on bushes
twílke;fringe
twinélesem, -mens;dependent upon someone., expect sb. to do things for one.
twítem;raising a child
twit;growing up of people
twit;has grown up
twiwt;young, K  young boy.
twiwyéne;become known.
twucwtnúcw, twecwtnúcw;caught in a snowstorm
twupt;fur bearing
txelcén̓cen;log/board over a stream as a foot bridge.
txelcentén;steps or staircase
txelcetén̓;stairs, ladder
txelq̓élestn, txelqélesten;shirt button
txelqílcwes;leaned hidden against wall/building
txél̓sem;peeling vegetables/fruit with a knife
txeltném,-enmíns;wanting to stay,  unwilling to leave sb. one is visiting, dragging out a visit.
txempúse7;berries dried up on bush
t̓xem̓wílc, t̓ex7emwílc;grown up now
txenwécw;small logs/boards side by side
txepqín̓e;roofing shingles
txepqín̓ten;shingles
txeqtsín̓;he/she speaks of unspeakable things, he doesn't watch what he says.
txet̓línten;Lac La Hache
txéwem;delaying a departue of another
txexetén;one's power
txexetsín̓;talking  smart.
txgél̓sem;peeling fruit or vegetables
txíqelqwten;washboard
txlél̓sem, texlél̓sem;placing logs, planks across, make a bed platform,  boardwalk, etc.
txum;he has tamed it  (animal)
txúsmen̓;egg beater,ice cream beater made of reeds
txuxewíw;to slide
txw7eq̓w,  E  txweq̓w;weather clears up after a rain
txwentés;straightened out a matter,straightened a metal,altered someone's  behavior
txweqwxwéq̓w;clear sky, esp. night sky,weather clears up.
txwesyékstem̓;rubbing soapberries in hands
txwey̓s;berries are gone
txwéy̓st.s, texwi7stés;she picked the  bushes clean
txwey̓st.s;they have picked the berrybush clean
txwey̓t;berries are all gone
txwi7úsem;to go around a peak
t̓xwilc, t̓exwílc;yelling
txwimíns, texwimíns;they laughed at it
txwitmím̓ens, txwexwitmín̓s;ganged up on someone or stg.
txwnesesís;nose is running
txwyewt;draw in mountains
tyalct.s;wound rope/string other around stg.
t̓ye7;birchbark canoe
t̓ye7cén;go aboard a birch canoe
tyecwélesmens;to get used to stg.
tyecyécpe7;pheasant
tyegínekten;fiddle, violin.
tyegwtén;spiritual power
tyég̓wts̓em;wrap
tyegwyegwtén;spiritual powers
tyelcwéqstcen̓;rags wound around legs as stockings
tyél̓ke;scoopnet
tyelk̓wáps;coiled hair-do
tyél̓kwens;she skimmed off the liquid
tyelkwentsút;scrubbing oneself off with fir branches in the sweatlodge.
tyellelcéllcw, yetélcéllcw;moving down from the mountain to the vally (of people).
tyellelcélqw;stepping over a log, climbing over a fence.
tyéllelcmens;went to the other side of stg.
tyéllelc;rotating sides (of people)
tyellelcús;go to the other side of a mountain
tyellqnemstwécw;to be lying end to end
tyél̓men;scoopnet
tyénem;circle around stg.
tyénem;go all the way around
tyenméqs;circle around a  bend in  a river
t̓yentsút;to train oneself.
tyenyenmélqw;to go around the turnstake (in horserace)
tyestmíns;stay overnight with someone
tyéy̓emts̓eten;hired worker
tyogwtén     (sp)?;spirit power
tyucwélesmas;becoming accustomed to stg.
u7ll-;and
ú7pekst;ten animals or small objects
ú7se;eggs
úcwcen̓;frozen foot
ucwkst;frozen hand
ucwt;frozen
ucw;there she/he goes again!
úkwem;carrying, packing , hauling a load
ulenmentsút;laughed at one'self
ulílem;laughed
úllcwemct.s;entered sb.'s lodge, home. den
ullcw;entered
ullcwst.s;he took it inside for him/her
unllq;a berry-picking trip lasting several days
unllq;gatherers,  by grp of women
úpekst;ten
úp̓sem;fishing with a gaff hook
up̓sílc;snapped back to original position (as stg. bent).
up̓s,  úp̓ske7;gaffhook
úq̓wi;brother of a male, sister of  a female
ust;diving
ute7úl̓i;very last in line or in a race
útsqe;defecate,exit
útsqe;exit from a thicket or other
w7e7c;with great difficulty
w7ec;present,usually,this is the method
w7ey;known, revealed
w7is;rose up,has risen higher
w7us;dived under
we7;at least, whatever, however, even if
we7éles;ready (to go, to do stg.),finished with a set of clothing.
we7enwén̓s;manage to finish with a chore
we7 t̓hénes k xílmes;regardless
weccen;tracks are visible
wecmílc;came to life
wecqínem,-s;combing the hair
wecwmílc;came to life
wecwqínem;combing the hair
we;even if,no matter what
weh weh;woof, woof!
wekcentés;he saw tracks
wéken;wagon
wekéselp̓em;saw smoke from house- or campfire
wekewíkem̓, we7wíkem;hallucinate
wekúlecwem;seeing terrain, a place, etc.
welánk/welénk (E é);intestine, belly, stomach
weláps;antler, horn
welcmentsót;to spare oneself, think of oneself only, E  keep aloof, consider oneself too good.
welécmens;he considered it too good to be given away,too good to throw out (article)  ???
welém;burned (accidentally)
welentés;he burned (accidentally)
welenméy̓e, welenméy̓e;a forced laugh
welensmátkwe;surface of water becomes green with algae.
welép;caught on fire,scorched
weléq̓;(sound of frog)
welík̓t;shining, sparkling
welílem, welílem;laughed
wél̓it;caught off guard,will be caught unprepared.
wellenwí7-emp;yourselves
wellenwí7-kt;ourselves
wellenwí7s;themselves
wellké7pe;you (plur., used in stories only)
wellkúpi;those lower in rank  people  ???
wellpyen7úl̓i;the people of today
wellqúm,-wentés;boil in water
well-;those people,them people
wellwállt, welwált;shiny
welmín;fungus used against arthritis by burning it on the affected spot,  Fomes fomentarius
welpúlecw;earth gets scorched
welq̓ém;turned a page, a blanket etc.
welq̓entés;he turned a page, a blanket etc.
welq̓pús;uncover the face,to recover from near-death.
welqsém,-entés/weléqsens;lit a match/lighter/, start up a fire
welúlecwens;burned flour,burned land
wel;until
weméc;alive
wenécwem;truly,really, absolutely
wenecwtsín;speaking the truth, E  also (speak) loud.
wenexélp;huckleberry bush Vaccinium membranaceum.
wenéx;huckleberries
wepépu7sqen;beard
wepwepcén̓;lynx
wepwepépelcken;hairy caterpillar
wepwepéqsten;hair in nostrils
wéqens;to take out  as a sliver
westecwéy̓e, swestecwéy̓e;wrestling
westéke;have it, keep it
westés;he has it (object),has referred to
westés, wecstés;she has it (article)
weswísem;flattering others,praising,honouring
weswísens;flattering others,praising,honouring
weswísxe;robin
wet7e, wete, -weté;almost,on the brink of
wetémtk;downstream district
wétk̓cten;medicine which induces vomiting
wetk̓elcúsens;lift out of the fire with a stick
wetk̓élem;push/lift stg. heavy with a stick
wetk̓élens;push/lift stg. heavy with a stick
wetkúm,-wentés;animal has stg. in it's mouth
wetkwéy̓em;animal carries away stg.
wetscén, utscén,  u7tscén;lizard
wetscén, we7tscén;lizard
wets̓ép;split off/away on the bottom of,E  burst, cracked (as glass).
wetsín;finish eating, to have eaten already
wetsqéq̓llten;looking  for pitchwood
wetwétk̓, wetk̓c;she vomitted
wewán;not very often
wewe7yús, wewey̓ús;sharp-sighted
wewél̓kmenst;electric storm
wéwemcmens;holler about stg.,  announce
wéwem;holler,advertise over a speaker
wéwens;holler,advertise over a speaker
wewétne,  -éten;lover of married woman, paramour
weweyéne;become known
wéwlem;fishing
wéwtskem;fishing with a spear
wéwtskens;fishing with a spear
wewtsk;fishing spear
wexém;he lit the match/fire
wexentés;he he lit the match/fire
wexép;it burned, E  flame
wexwélst;fungus found on fir trees
wéyelcmens;he came into view
wéyelc;to show one's self/come within view of another
wéyem;revealed stg. showed stg.
wéyens;revealed stg. showed stg.
weyt;he's in for it now!
weytk;hello
weyt-kp;hello (plural)
weyt-kp, xweytkp;hello  to several
wi7;finished
wi7st.s;she finished with it
wíkem;saw,able to see
wíkts;saw,able to see
wikt.s;she saw it
wíle;lichen Alectoria Jubata
wíq̓em;wrecking
wíq̓ens;wrecking
wíq̓emt;wood structure breaks or fall apart
wíselc;she tiptoed, stood higher
wíselqw,  newíselqw;high timber
wist;high
wíts̓em;chop, split wood/bones
wíts̓ens;chop, split wood/bones
witsín;loud
wíts̓ke7;wedge
wiwéy;visible
wíwllwell;snipe
wo7 wo7;(sound of gagging/choking)
wúcwkst,  qeq̓wpékst;hands are  frozen
wucwt;it snowed
wuméc;alive
wyesq̓t;weather clears up
x7ens;warn, scold.
x7ens, x7eníle;she disciplined him/her,she warned him
xa7xa7tsín;lonely song
xegxégt;draughty, windy (≈eg≈égt te smenx "mentholated tobacco).
xelem7úy, xelme7úy;she over reacted,over did it
xelenwéllen̓;able to, manage to do stg.
xelenwén̓s;she was able to suceed at it
xelk̓wílc;to climb up
xelpnéws,-ens, - l;going to meet sb.,  intercepting
xelqél̓sten;buckle
xelqém;put in between stg.,to put stg. in your pocket or clothing.
xelqentés;he put in between stg.,to put stg. in your pocket or clothing.
xelq̓ém;rolling stg.
xelq̓entés;he rolling stg.
xelq̓úlecw/xelq̓úle7cw;disc-rolling game (disc must fall down covering a stone).
xelsepsp̓ém;beat around with a stick
xelsepsp̓entés;he beat around with a stick
xeltskwném,-éns;grabbed at
xelwetkúm,-wentés;catching stg. flying in the air(of dogs), catching stg.
xelwíkt.s;caught sight of stg.
xel-/xel-;simultaniously doing stg.
xelxlélcw;corn, maize
xempúlecw;vegetation has dried up
xéne;hurt
xenstés;she hurt  him
xenwéllen̓;she was able to do it
xenwén̓s;she managed it
xenxéne;they were hurt
xep̓cném;hanging of fish overnight before drying
xépem;chew, crunch, gnaw
xépens;chew, crunch, gnaw
xepepíp;munching noises from eating some foods like potatoe chips.
xep,xep;chomp, chomp
xéq̓em;paying a shaman for a cure
xéq̓ens;paying a shaman for a cure
xeqpíken̓;saddle blanket
xeqxéq;fitting exactly,elbow to elbow
xeqxéqt;selfish, unwilling to lend things
xesxeséllp;broomgrass   ???
xetéqs;in front of a lineup,  first person in any activity
xetk̓um;cut with scissors  ???
xetk̓wén̓kens;cut the umbilical cord with scissors
xetk̓wentés/xítk̓wens;cut up, cut with scissors
xetk̓wméke7;scissors
xet̓míns;wishing for a certain type of food
xets̓nísem, xets̓nísem̓;bareing the fangs or wrinkling the nose in disgust.  ???
xetspqíqenkst;a hundred
xetspstés;doing all sorts of things,finishing several chores.
xets̓úll;Soda Creek Reserve
xetsxétst;straight, E  also deck of cards.
xetxet7ílc;limping
xéwem;taking off bark with knife, whittling
xéwens;taking off bark with knife, whittling
xewt;dry
xewxewít;curlew, bird that wades in water
xex7éts;heat ripples (optical), "heat wave"
xexe7ékst;stern also, high wind storms
xexe7étkwe;rough waters,hard liquer
xexé7;impressive,smart, intelligent, powerful,difficult,extreme
xexe7úlecw;impassable terrain
xexelemstsút;doing stg without directions,making stg. without a recipe.
xexentsút;showing off of adults
xexestsút;bragging about one'self, thinking that no one else can do stg. better.
xexet7ílc;limped
xexetsín;loud obnoxious voice
xexewít;curlew  (Cc  D  K  q̓) Do
xeximéllile;large bushes
xéxqse7;stick-throwing game (must remain stuck in forked branch tartget).
xextst;dancing of the prairiechicken in spring.
xexyemwewíl̓elc;to grow up a tad more
xéymens;she scolded  him
xge7éyqeten;stone corral for salmon  Do
xgelcwptém̓;residue on bottom of pan has hardened
xgellqpétkwe;fall through the ice   Do.
xgens;marten
xgépmen̓;tip of arrow
xgep;torn off accidently
xgesgíssem;to arch one's eyebrows, Do  to close one's eyes.
xgét̓kwe;deep water
xgetselcsqéxe7ten;tethering rope
xgetsénkten;strap to tighten cinch
